,Short RDate FY,Utility Type,Bname,Fiscal Year,bldg sqft,MTCO2,kg CO2 / sq ft
,FY 15,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2015,22837,15.7396,0.689
,FY 15,Natural Gas,BAHNA WRESTLING  CENTER,2015,22072,4.62705,0.210
,FY 15,Natural Gas,FISHER RAY BASEBALL STADIUM,2015,30167,17.5163,0.581
,FY 15,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2015,45356,21.364,0.471
,FY 15,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2015,78278,66.091278,0.844
,FY 15,Natural Gas,SCHEMBECHLER GLENN E HALL,2015,85526,19.146068,0.224
,FY 15,Natural Gas,SCHEMBECHLER GLENN E HALL,2015,85526,38.297804,0.448
,FY 15,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2015,88863,9.0143,0.101
,FY 15,Natural Gas,MICHIGAN STADIUM COMPLEX,2015,570265,125.69335,0.220
,FY 15,Natural Gas,FIELD HOCKEY COMPLEX,2015,14683,4.0875,0.278
,FY 15,Natural Gas,CRISLER ARENA,2015,264041,3.26455,0.012
,FY 15,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2015,17382,3.94035,0.227
,FY 15,Natural Gas,WEISFELD FAMILY GOLF CENTER,2015,11307,1.24805,0.110
,FY 14,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2014,17382,6.9651,0.401
,FY 14,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2014,22837,13.7013,0.600
,FY 14,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2014,88863,27.2936,0.307
,FY 14,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2014,45356,32.82535,0.724
,FY 14,Natural Gas,BAHNA WRESTLING  CENTER,2014,22072,7.3575,0.333
,FY 14,Natural Gas,MICHIGAN STADIUM COMPLEX,2014,570265,195.73675,0.343
,FY 14,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2014,78402,140.2504635,1.789
,FY 14,Natural Gas,WEISFELD FAMILY GOLF CENTER,2014,11307,3.1174,0.276
,FY 14,Natural Gas,CRISLER ARENA,2014,264041,4.11475,0.016
,FY 14,Natural Gas,SCHEMBECHLER GLENN E HALL,2014,85525,40.6292595,0.475
,FY 14,Natural Gas,SCHEMBECHLER GLENN E HALL,2014,85525,81.270727,0.950
,FY 14,Natural Gas,FISHER RAY BASEBALL STADIUM,2014,30167,22.84095,0.757
,FY 09,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2009,88863,5.9296,0.067
,FY 09,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2009,22837,3.3354,0.146
,FY 09,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2009,45356,17.61985,0.388
,FY 09,Natural Gas,FISHER RAY BASEBALL STADIUM,2009,11556,5.15025,0.446
,FY 09,Natural Gas,MICHIGAN STADIUM COMPLEX,2009,153630,1.7331,0.011
,FY 09,Natural Gas,MICHIGAN STADIUM COMPLEX,2009,153630,10.00075,0.065
,FY 09,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2009,76247,5.866489,0.077
,FY 09,Natural Gas,SCHEMBECHLER GLENN E HALL,2009,69711,1.6994735,0.024
,FY 09,Natural Gas,SCHEMBECHLER GLENN E HALL,2009,69711,3.3994375,0.049
,FY 17,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2017,17382,0.25615,0.015
,FY 17,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2017,22837,0.436,0.019
,FY 17,Natural Gas,FISHER RAY BASEBALL STADIUM,2017,30167,0.5014,0.017
